name,artists,primary_color,album_name,album_image,album_type,spotify_url
Miénteme,Cruz Cafuné, Hathi,undefined,Miénteme,https://i.scdn.co/image/ab67616d0000b273545e0fc8ba23b73b464811be,single,https://open.spotify.com/track/3d0CVvh3V9XOesXzkrD21j
Test The Limits,The Ghost Inside,undefined,Get What You Give,https://i.scdn.co/image/ab67616d0000b273eaccf766c181fa3ff24048d4,album,https://open.spotify.com/track/3XUsc37wxXv7S57xkMHLeg
Downbeat,The Ghost Inside,undefined,Returners,https://i.scdn.co/image/ab67616d0000b273c8c4f8bc47d37fa95b2ead58,album,https://open.spotify.com/track/73VvUkuO2R2hWMMEtlWu3t
Between the Lines,The Ghost Inside,undefined,Returners,https://i.scdn.co/image/ab67616d0000b273c8c4f8bc47d37fa95b2ead58,album,https://open.spotify.com/track/3FDnS83MBDDMFGiqnHuMft
Walk Away from the World,The Ghost Inside,undefined,Returners,https://i.scdn.co/image/ab67616d0000b273c8c4f8bc47d37fa95b2ead58,album,https://open.spotify.com/track/0CAvdCSuNnVq7odnM8MSwu
Lowlands,Alura,undefined,Alura,https://i.scdn.co/image/ab67616d0000b2735f074e1a254b704832e94337,album,https://open.spotify.com/track/7EeGCHsTCcUuUqEBUKbHoy
Younger,Saviour,undefined,Shine & Fade,https://i.scdn.co/image/ab67616d0000b273cf6c427baa0fb741e44d5035,album,https://open.spotify.com/track/1liMCsXLRHlL21L1QwZQKJ
Sleeping Slaves of Fate,Lucrecia,undefined,Grave of the Fireflies,https://i.scdn.co/image/ab67616d0000b27345ab4eb0af9ee94b6c8f0abe,single,https://open.spotify.com/track/3XJdcZwabzY2BevTQND5Y1
Curriculum,Aviana,undefined,Corporation,https://i.scdn.co/image/ab67616d0000b2733114a7f0078c3c39de83170a,album,https://open.spotify.com/track/0wmkkQjl5GYbGlYDgLQKLT
Little Bird,Casey,undefined,Love Is Not Enough,https://i.scdn.co/image/ab67616d0000b2737cea85e107978b31db7f4cfe,album,https://open.spotify.com/track/4gMbdI1UYeBzPsB6oPoZuf
Home / Sick,Heart In Hand,undefined,Almost There,https://i.scdn.co/image/ab67616d0000b2733b9f67bdd278f2114e6dea05,album,https://open.spotify.com/track/0yvNIZfg6lzGbo3vq0Vzqm
Sleep,Casey,undefined,Love Is Not Enough,https://i.scdn.co/image/ab67616d0000b2737cea85e107978b31db7f4cfe,album,https://open.spotify.com/track/6uw2YPFd4JCfLynxOfkBz8
Fade,Casey,undefined,Fade,https://i.scdn.co/image/ab67616d0000b273441350a55769f32299277afc,single,https://open.spotify.com/track/30R04hHbJL3ZSWn6KdEZds
Love Let Me Go,More Than Life,undefined,Love Let Me Go,https://i.scdn.co/image/ab67616d0000b2736540f35615a5fdcbd5a76132,album,https://open.spotify.com/track/0fEK2mzkCpaBmZZU4sVQRz
